job_link,job_title,job_title_normalized,role_category,company,job_location,state,first_seen,job_level,job_type,is_likely_repost
https://www.linkedin.com/jobs/view/business-analyst-at-dice-3805946418,Business Analyst,business analyst,Business Analysis,Dice,"Richmond, VA",VA,2024-01-16,Mid senior,Onsite,True
https://www.linkedin.com/jobs/view/business-systems-analyst-at-bell-flight-3775122872,Business Systems Analyst,business system analyst,Business Analysis,Bell Flight,"Fort Worth, TX",TX,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/manager-product-management-card-correspondence-platform-at-capital-one-3781384052,"Manager, Product Management - Card Correspondence Platform",manager product management - card correspondence platform,Manager (other),Capital One,"Richmond, VA",VA,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/business-intelligence-analyst-ii-at-experis-3674348794,Business Intelligence Analyst II,business intelligence analyst ii,Analyst (other),Experis,"Charlotte, NC",NC,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-technical-writer-at-systemtec-3782268026,Business Analyst/Technical Writer,business analyst/technical writer,Business Analysis,SYSTEMTEC,"Columbia, South Carolina Metropolitan Area",SC,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/manager-business-systems-support-brentwood-tn-at-vetjobs-3791949527,"Manager, Business Systems Support - Brentwood TN",manager business system support - brentwood tn,Manager (other),VetJobs,"Brentwood, TN",TN,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/procurement-services-manager-at-illinois-mathematics-and-science-academy-3771284233,Procurement Services Manager,procurement services manager,Manager (other),Illinois Mathematics and Science Academy,"Aurora, IL",IL,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/sr-manager-project-management-hybrid-at-exelon-3759761972,Sr Manager - Project Management (Hybrid),senior manager - project management (hybrid),Manager (other),Exelon,"Baltimore, MD",MD,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/sr-it-salesforce-product-owner-business-analyst-at-fleetpride-3734197724,Sr. IT Salesforce Product Owner/ Business Analyst,senior it salesforce product owner/ business analyst,Business Analysis,FleetPride,"Irving, TX",TX,2024-01-16,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/customer-solutions-manager-at-westinghouse-electric-company-3791476345,Customer Solutions Manager,customer solutions manager,Manager (other),Westinghouse Electric Company,"Cranberry Township, PA",PA,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/senior-financial-analyst-at-bal-3799952489,Senior Financial Analyst,senior financial analyst,Finance / Accounting / Tax,BAL,"Richardson, TX",TX,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/manager-product-management-external-affairs-at-capital-one-3774779232,"Manager, Product Management- External Affairs",manager product management- external affairs,Manager (other),Capital One,"Richmond, VA",VA,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/senior-manager-risk-assessments-es-risk-at-clickjobs-io-3793197304,"Senior Manager, Risk Assessments - ES Risk",senior manager risk assessments - es risk,Manager (other),ClickJobs.io,"New York, United States",NY,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/quality-assurance-test-lead-at-tennant-company-3787524724,Quality Assurance Test Lead,quality assurance test lead,Other / Uncategorized,Tennant Company,"Eden Prairie, MN",MN,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/part-time-sales-supervisor-orland-square-at-eddie-bauer-3582334331,Part-Time Sales Supervisor - Orland Square,part-time sales supervisor - orland square,Sales / Business Development,Eddie Bauer,"Orland Park, IL",IL,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/senior-associate-communications-prioritization-and-reporting-risk-specialist-retail-bank-hybrid-at-capital-one-3774775790,"Senior Associate: Communications, Prioritization and Reporting Risk Specialist | Retail Bank (Hybrid)",senior associate: communications prioritization and reporting risk specialist | retail bank (hybrid),Other / Uncategorized,Capital One,"Richmond, VA",VA,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/branch-manager-at-imperial-dade-3784028264,Branch Manager,branch manager,Manager (other),Imperial Dade,"San Antonio, TX",TX,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/operations-supervisor-at-starr-insurance-3727342945,Operations Supervisor,operations supervisor,Other / Uncategorized,Starr Insurance,"New York, NY",NY,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/systems-engineer-cortex-specialist-majors-at-palo-alto-networks-3773362166,"Systems Engineer, Cortex Specialist - Majors",system engineer cortex specialist - majors,Engineering / Architecture (other),Palo Alto Networks,"Washington, DC",DC,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/saas-developer-at-bluemedia-3787744539,SaaS Developer,saas developer,Engineering / Architecture (other),bluemedia,"Tempe, AZ",AZ,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/senior-manager-it-infrastructure-at-pkc-group-3694278723,"Senior Manager, IT Infrastructure",senior manager it infrastructure,IT / Systems,PKC Group,"Farmington Hills, MI",MI,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/data-warehousing-technical-business-analyst-at-allnessjobs-3762863760,Data Warehousing Technical Business Analyst,data warehousing technical business analyst,Business Analysis,Allnessjobs,"Austin, TX",TX,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/power-bi-business-analyst-at-flexware-innovation-3781677889,Power BI Business Analyst,power bi business analyst,Business Analysis,Flexware Innovation,"Fishers, IN",IN,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-data-engineering-at-alltech-3795121810,"Business Analyst, Data Engineering",business analyst data engineering,Business Analysis,Alltech,"Brentwood, TN",TN,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/senior-software-project-manager-at-mitek-3776182693,Senior Software Project Manager,senior software project manager,Project / Program Management,MiTek,"Chesterfield, MO",MO,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-at-net2source-inc-3768037841,BUSINESS ANALYST,business analyst,Business Analysis,Net2Source Inc.,"Minneapolis, MN",MN,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/commercial-online-banking-system-analyst-at-steneral-consulting-3796153771,COMMERCIAL ONLINE BANKING SYSTEM ANALYST,commercial online banking system analyst,IT / Systems,Steneral Consulting,"Chicago, IL",IL,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/investor-relations-analyst-at-cantor-fitzgerald-3786737121,Investor Relations Analyst,investor relations analyst,Analyst (other),Cantor Fitzgerald,New York City Metropolitan Area,NY,2024-01-13,Associate,Onsite,False
https://ca.linkedin.com/jobs/view/finance-senior-financial-analyst-corporate-finance-at-aritzia-3801122460,"Finance - Senior Financial Analyst, Corporate Finance",finance - senior financial analyst corporate finance,Finance / Accounting / Tax,Aritzia,"Vancouver, British Columbia, Canada",NON_US,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-%40-bay-area-ca-need-local-candidate-onsite-role-at-edgeglobal-llc-3792067885,"Business Analyst @ Bay Area, CA - NEED LOCAL CANDIDATE - Onsite role",business analyst @ bay area ca - need local candidate - onsite role,Business Analysis,EdgeGlobal LLC,"San Francisco, CA",CA,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/urgent-role-workspace-business-analyst-king-of-prussia-pa-citizen-gc-at-steneral-consulting-3752492987,"Urgent Role || Workspace Business Analyst || King of Prussia, PA || Citizen,GC",urgent role || workspace business analyst || king of prussia pa || citizengc,Business Analysis,Steneral Consulting,"King of Prussia, PA",PA,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-intern-at-federal-reserve-bank-of-minneapolis-3747592333,Business Analyst Intern,business analyst intern,Business Analysis,Federal Reserve Bank of Minneapolis,"Minneapolis, MN",MN,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/onsite-work-need-workspace-business-analyst-in-king-of-prussia-pa-at-steneral-consulting-3751747147,"Onsite Work - Need Workspace Business Analyst in King of Prussia, PA",onsite work - need workspace business analyst in king of prussia pa,Business Analysis,Steneral Consulting,"King of Prussia, PA",PA,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/sql-analyst-and-programmer-at-watsonbarron-group-3730100580,SQL Analyst and Programmer,sql analyst and programmer,Analyst (other),WatsonBarron Group,"Red Bank, NJ",NJ,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-architect-at-tyto-athene-llc-3805253724,Business Analyst/Architect,business analyst/architect,Business Analysis,"Tyto Athene, LLC","Warner Robins, GA",GA,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-in-summit-nj-at-collab-infotech-3714658673,"Business Analyst IN Summit, NJ",business analyst in summit nj,Business Analysis,Collab Infotech,"Seattle, WA",WA,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/it-business-analyst-at-parin-technologies-3757512496,IT Business Analyst,it business analyst,Business Analysis,Parin Technologies,"Georgia, United States",GA,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/sap-business-analyst-at-viterra-us-3801595139,SAP Business Analyst,sap business analyst,Business Analysis,Viterra US,"Omaha, NE",NE,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/crm-business-analyst-at-vrk-it-vision-inc-3758469982,CRM business analyst,crm business analyst,Business Analysis,VRK IT Vision Inc.,"Jamesburg, NJ",NJ,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/jde-business-analyst-supply-chain-at-laticrete-international-3775655910,JDE Business Analyst (Supply Chain),jde business analyst (supply chain),Business Analysis,LATICRETE International,"Terryville, CT",CT,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/senior-business-systems-analyst-at-datum-technologies-group-3798619196,Senior Business Systems Analyst,senior business system analyst,Business Analysis,Datum Technologies Group,"Warner Robins, GA",GA,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/pm-business-analyst-at-modis-engineering-3769016434,PM Business analyst,pm business analyst,Business Analysis,Modis Engineering,"Cincinnati, OH",OH,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/business-systems-analyst-at-amick-brown-sap-cloud-technologies-and-business-intelligence-staffing-consulting-3750618188,Business Systems Analyst,business system analyst,Business Analysis,"Amick Brown - SAP, Cloud Technologies and Business Intelligence Staffing & Consulting","Sacramento, CA",CA,2024-01-13,Associate,Onsite,True
https://www.linkedin.com/jobs/view/operations-analyst-at-americor-3788919979,Operations Analyst,operations analyst,Analyst (other),Americor,"Irvine, CA",CA,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/senior-analyst-bangkok-based-relocation-provided-at-agoda-3748489790,"Senior Analyst (Bangkok Based, relocation provided)",senior analyst (bangkok based relocation provided),Analyst (other),Agoda,"Denver, CO",CO,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-level-3-remote-job-at-amtex-systems-inc-3713032638,Business Analyst - Level 3- Remote job,business analyst - level 3- remote job,Business Analysis,Amtex Systems Inc.,"Hartford, CT",CT,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-oracle-ebs-budget-to-report-b2r-at-caci-international-inc-3736099499,Business Analyst - Oracle EBS Budget to Report (B2R),business analyst - oracle ebs budget to report (b2r),Business Analysis,CACI International Inc,"State Farm, VA",VA,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/senior-business-analyst-peoplesoft-at-university-of-utah-3667023068,Senior Business Analyst - PeopleSoft,senior business analyst - peoplesoft,Business Analysis,University of Utah,"Salt Lake City, UT",UT,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/sr-business-analyst-app-support-hybrid-at-exelon-3792993363,Sr Business Analyst - App Support (Hybrid),senior business analyst - app support (hybrid),Business Analysis,Exelon,"Philadelphia, PA",PA,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-at-funko-3785621125,Business Analyst,business analyst,Business Analysis,Funko,"Everett, WA",WA,2024-01-13,Mid senior,Onsite,True
https://www.linkedin.com/jobs/view/senior-business-analyst-at-editech-staffing-3795093758,Senior Business Analyst,senior business analyst,Business Analysis,Editech Staffing,"Durham, NC",NC,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-with-murex-accounting-module-piscataway-nj-hybrid-w2-only-at-mindpro-solutions-inc-3686168109,"Business Analyst with MUREX & Accounting Module--Piscataway, NJ  (Hybrid)---W2 only",business analyst with murex & accounting module--piscataway nj (hybrid)---w2 only,Business Analysis,MindPro Solutions Inc,"Piscataway, NJ",NJ,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/senior-financial-analyst-fp-a-onsite-at-jobot-3804051000,Senior Financial Analyst - FP&A (Onsite),senior financial analyst - fp&a (onsite),Finance / Accounting / Tax,Jobot,"Phoenix, AZ",AZ,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-at-software-technology-inc-3746280258,Business Analyst,business analyst,Business Analysis,Software Technology Inc.,"Raleigh, NC",NC,2024-01-13,Associate,Onsite,True
https://www.linkedin.com/jobs/view/reporting-business-analyst-at-divihn-integration-inc-3764518055,Reporting Business Analyst,reporting business analyst,Business Analysis,DivIHN Integration Inc,"Lisle, IL",IL,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/business-process-analyst-at-all-points-broadband-3789408030,Business Process Analyst,business process analyst,Business Analysis,All Points Broadband,"Richmond, VA",VA,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/technical-business-analyst-payments-onsite-charlote-north-carolina-at-spanco-solutions-3718998641,"Technical Business Analyst (Payments)  - Onsite - Charlote, North Carolina",technical business analyst (payments) - onsite - charlote north carolina,Business Analysis,Spanco Solutions,"Charlotte, NC",NC,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-at-stellar-professionals-3757511066,Business Analyst,business analyst,Business Analysis,Stellar Professionals,"Atlanta, GA",GA,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/business-process-analyst-richmond-va-at-vetjobs-3801743891,"Business Process Analyst - Richmond, VA",business process analyst - richmond va,Business Analysis,VetJobs,"Richmond, VA",VA,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-at-software-technology-inc-3793661005,Business Analyst,business analyst,Business Analysis,Software Technology Inc.,"Connecticut, United States",CT,2024-01-13,Mid senior,Onsite,True
https://www.linkedin.com/jobs/view/business-system-analyst-at-tekintegral-3793689418,Business System Analyst /,business system analyst /,Business Analysis,TekIntegral,"Hartford, CT",CT,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-iii-at-hatchworks-3752043063,Business Analyst III,business analyst iii,Business Analysis,HatchWorks,United States,,2024-01-13,Mid senior,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-at-sapear-inc-3789280839,Business Analyst,business analyst,Business Analysis,Sapear Inc,"Glen Allen, VA",VA,2024-01-13,Associate,Onsite,False
https://www.linkedin.com/jobs/view/business-analyst-at-funko-3792291264,Business Analyst,business analyst,Business Analysis,Funko,"Everett, WA",WA,2024-01-13,Mid senior,Onsite,True
